LOR_Schluessel,Bezeichnung,Raub_2018,Koerperverletzungen_2018,Diebstahl_Kraftwagen_2018,Diebstahl_an/aus_Kfz_2018,Fahrraddiebstahl_2018,Wohnraumeinbruch_2018,Branddelikte_2018,Sachbeschaedigung_2018,Rauschgiftdelikte_2018,Raub_2019,Koerperverletzungen_2019,Diebstahl_Kraftwagen_2019,Diebstahl_an/aus_Kfz_2019,Fahrraddiebstahl_2019,Wohnraumeinbruch_2019,Branddelikte_2019,Sachbeschaedigung_2019,Rauschgiftdelikte_2019,Raub_2020,Koerperverletzungen_2020,Diebstahl_Kraftwagen_2020,Diebstahl_an/aus_Kfz_2020,Fahrraddiebstahl_2020,Wohnraumeinbruch_2020,Branddelikte_2020,Sachbeschaedigung_2020,Rauschgiftdelikte_2020,Raub_2021,Koerperverletzungen_2021,Diebstahl_Kraftwagen_2021,Diebstahl_an/aus_Kfz_2021,Fahrraddiebstahl_2021,Wohnraumeinbruch_2021,Branddelikte_2021,Sachbeschaedigung_2021,Rauschgiftdelikte_2021,Raub_2022,Koerperverletzungen_2022,Diebstahl_Kraftwagen_2022,Diebstahl_an/aus_Kfz_2022,Fahrraddiebstahl_2022,Wohnraumeinbruch_2022,Branddelikte_2022,Sachbeschaedigung_2022,Rauschgiftdelikte_2022,Raub_2023,Koerperverletzungen_2023,Diebstahl_Kraftwagen_2023,Diebstahl_an/aus_Kfz_2023,Fahrraddiebstahl_2023,Wohnraumeinbruch_2023,Branddelikte_2023,Sachbeschaedigung_2023,Rauschgiftdelikte_2023
093009,Altglienicke,37,666,207,533,374,255,37,674,126,33,768,317,426,324,200,58,575,142,39,669,153,416,345,139,43,573,157,31,775,164,387,279,119,56,771,77,55,771,123,358,270,212,38,785,85,36,856,282,561,338,255,56,730,143
093010,Bohnsdorf,54,916,239,454,385,277,69,685,54,38,815,168,480,434,213,38,876,107,30,814,137,464,494,373,61,593,114,37,739,134,605,329,291,45,889,105,36,762,164,819,428,278,50,884,121,26,821,317,"1,552",304,220,97,853,194
093011,Grünau,47,452,109,747,"1,355",249,125,"1,822",78,30,496,165,526,"1,097",210,195,"2,043",105,71,643,100,386,"1,186",129,57,"1,457",71,54,640,123,599,763,82,68,"1,770",123,64,938,128,732,822,128,0,"1,901",128,61,"1,107",172,959,"1,131",197,49,"1,181",209
093012,Schmöckwitz,0,388,68,342,274,182,91,479,68,68,476,181,181,204,0,68,294,45,23,564,113,271,158,23,23,316,23,22,244,67,222,289,155,0,533,89,0,477,108,802,173,22,43,542,130,22,575,155,398,66,133,66,797,22
094013,Köpenick Süd,0,346,84,329,287,287,152,607,42,17,375,75,267,192,242,117,450,67,17,349,108,341,266,175,25,482,108,0,399,67,258,274,175,25,515,191,0,439,99,232,248,124,50,447,66,16,500,205,418,394,205,25,656,57
094014,Allende-Viertel,35,630,155,708,484,69,35,803,112,17,641,165,442,736,43,69,823,182,35,508,105,394,421,53,79,710,105,35,796,62,381,549,80,27,"1,044",150,77,631,171,495,341,60,102,691,154,42,780,216,241,357,83,50,780,33
094015,Altstadt Köpenick,28,"1,672",85,326,836,14,43,"1,318",298,42,"1,390",56,348,654,28,42,"1,488",306,41,"1,258",55,219,957,27,14,875,478,54,940,14,286,995,41,82,967,313,107,"1,503",67,228,443,81,134,"1,382",255,66,"1,456",144,276,761,26,39,"1,036",289
094016,Müggelheim,30,297,74,446,193,134,59,372,74,15,251,59,133,162,74,118,664,162,73,410,44,337,59,15,15,571,117,0,380,29,58,131,73,44,350,29,0,316,86,129,57,144,43,373,129,0,284,128,156,241,170,14,298,28
095017,Friedrichshagen,32,575,154,261,"1,128",69,43,841,53,58,681,199,309,906,79,94,890,79,79,592,100,393,834,79,37,949,163,47,515,53,247,630,58,26,830,105,63,512,84,423,575,89,78,826,120,42,542,189,457,847,110,53,789,158
095018,Rahnsdorf,21,327,63,548,"1,001",253,42,527,105,0,421,147,411,726,147,21,832,137,52,681,155,320,764,93,31,"1,455",62,20,574,70,352,382,91,91,996,151,76,539,95,198,860,208,113,775,76,19,617,75,467,831,103,47,598,28
095019,Dammvorstadt,81,"1,282",90,484,"1,040",72,27,"1,309",278,140,"1,711",175,594,"1,231",96,61,"1,362",524,163,"1,800",69,660,"1,928",77,34,"1,380",420,68,903,42,354,"1,063",17,59,"1,300",338,125,"1,504",84,359,994,142,17,"1,496",510,212,"1,679",122,538,"1,271",73,65,"1,247",261
095020,Köpenick Nord,101,521,78,319,591,272,47,723,101,23,604,115,397,443,275,92,665,107,15,369,68,263,497,301,60,806,151,30,512,68,354,422,203,15,730,98,37,344,127,523,501,120,45,553,82,30,368,90,421,662,293,90,504,128
101001,Marzahn Nord,108,"1,581",223,410,389,74,79,"1,278",219,116,"1,667",223,289,219,70,112,"1,253",219,132,"1,774",124,413,260,74,103,"1,411",260,74,"1,575",132,609,243,45,66,"1,320",243,97,"1,494",154,409,409,73,158,"1,291",182,177,"1,992",297,671,241,84,213,"1,385",217
101002,Marzahn Mitte,80,"1,413",277,518,201,94,103,963,199,108,"1,443",298,673,135,46,101,"1,027",269,98,"1,306",177,801,229,64,73,"1,086",212,89,"1,253",182,865,270,83,50,991,192,101,"1,426",192,"1,093",386,164,83,"1,055",145,137,"1,490",368,"1,250",278,227,178,"1,116",186
101003,Marzahn Süd,42,845,373,757,222,112,68,910,149,85,"1,014",393,851,259,116,28,810,181,144,983,231,945,264,128,72,"1,109",216,87,804,151,776,235,94,66,"1,151",166,63,972,236,"1,022",239,126,58,965,176,86,919,430,"1,135",243,248,81,"1,094",135
102004,Hellersdorf Nord,73,"1,567",196,371,279,98,165,"1,511",307,119,"1,453",165,461,254,80,138,"1,412",303,105,"1,571",143,489,303,78,119,"1,103",335,109,"1,364",133,517,165,35,67,"1,215",245,147,"1,683",152,645,315,81,76,"1,505",195,120,"1,620",270,623,430,188,122,"1,190",172
102005,Hellersdorf Ost,68,"1,349",170,345,325,39,92,"1,121",248,130,"1,171",183,376,362,48,145,892,198,114,"1,297",180,388,298,28,151,"1,032",241,138,"1,031",69,399,536,37,78,"1,059",234,107,"1,078",76,811,588,89,125,855,183,142,"1,254",155,487,366,103,103,789,129
102006,Hellersdorf Süd,64,"1,478",133,314,395,89,125,"1,321",209,60,"1,052",113,214,210,28,85,"1,060",177,136,"1,124",120,332,268,84,84,"1,048",204,87,959,63,489,170,39,43,"1,215",185,102,"1,040",125,614,215,78,160,"1,106",203,92,"1,055",239,458,246,177,104,974,131
103007,Biesdorf,44,550,144,491,679,362,78,702,100,61,717,151,519,534,274,58,645,115,63,719,126,302,565,126,84,828,168,72,549,110,409,409,100,82,827,96,50,568,129,591,614,258,59,664,96,65,823,181,450,583,311,55,693,100
104008,Kaulsdorf,21,601,78,492,575,160,57,844,88,36,578,119,407,500,206,72,691,93,62,706,124,428,526,227,15,670,88,31,443,108,402,402,139,46,618,113,41,650,97,686,348,220,67,732,92,86,552,207,435,263,334,35,668,86
